Project,Name,Revisions,Editors,Words,References
de.wikipedia.org,"Wellenbrecher_(Wasserbau)",69,54,152,0
de.wikipedia.org,"Doris_Harder",53,39,64,0
de.wikipedia.org,"Clockwork_Angels",12,9,469,3
de.wikipedia.org,"Gelbrandiger_Dammläufer",27,21,728,10
de.wikipedia.org,"Hillson_Bi-mono",23,17,767,2
de.wikipedia.org,"Georg_Friedrich_Walz",17,9,1675,13
de.wikipedia.org,"Max_Straubinger",74,57,320,5
de.wikipedia.org,"Odo_III._(Champagne)",24,17,191,1
de.wikipedia.org,"Ulrich_Roski",137,87,402,1
de.wikipedia.org,"Snookerweltmeisterschaft_2004",38,26,85,0
de.wikipedia.org,"Diateichisma",36,19,1920,19
de.wikipedia.org,"Tadeusz_Fijas",10,8,130,0
de.wikipedia.org,"Engelbert_I._(Spanheim)",67,34,351,3
de.wikipedia.org,"Liste_der_Schweriner_Domprediger",16,8,36,5
de.wikipedia.org,"Grzegorz_Panfil",15,8,83,0
de.wikipedia.org,"Sigismund_Samuel_Hahn",17,9,190,4
de.wikipedia.org,"Gospodarczy_Bank_Spółdzielczy_w_Strzelinie",14,9,166,5
de.wikipedia.org,"Wongai-Ningaui",8,4,279,4
de.wikipedia.org,"Kastell_Kapersburg",220,70,1507,10
de.wikipedia.org,"Karl_Siegfried_Bader",67,43,367,1
de.wikipedia.org,"Carsten_Lekutat",38,16,216,0
de.wikipedia.org,"(8567)_1996_HW1",5,5,20,0
de.wikipedia.org,"Lacuna_musculorum_et_vasorum",48,22,277,0
de.wikipedia.org,"Il_Parco_di_Kurt_Laurenz_Metzler",13,7,215,0
de.wikipedia.org,"Zentralfilmgesellschaft_Ost",15,13,125,0
de.wikipedia.org,"Kultur-_und_Kongresszentrum_Liederhalle",201,67,3842,10
de.wikipedia.org,"Jeanne_Eder-Schwyzer",14,7,236,4
de.wikipedia.org,"James_Tabor",29,21,87,0
de.wikipedia.org,"Friesland_Porzellanfabrik",143,59,1349,44
de.wikipedia.org,"Dominik_Käppeler",9,6,138,4
de.wikipedia.org,"Saint-Antoine-l’Abbaye",11,6,441,2
de.wikipedia.org,"John_Lurie",134,70,557,15
de.wikipedia.org,"Paionios_(Bildhauer)",75,41,277,0
de.wikipedia.org,"Waldemar_Jungner",8,3,409,10
de.wikipedia.org,"Claude_Corbineau",17,13,273,0
de.wikipedia.org,"Captain_Forever",19,9,130,7
de.wikipedia.org,"Lamberdus_Ostendorp",16,11,149,1
de.wikipedia.org,"Chrysoclista_linneella",14,12,573,8
de.wikipedia.org,"James_Newton",41,22,368,0
de.wikipedia.org,"Torii_Kiyonobu_I.",11,9,242,3
de.wikipedia.org,"Knochenschallmikrofon",23,18,95,0
de.wikipedia.org,"Karl_Friedrich_Skrzeczka",11,9,115,0
de.wikipedia.org,"Liste_der_Hochhäuser_in_Dänemark",47,18,91,1
de.wikipedia.org,"Manslagt",281,79,3237,47
de.wikipedia.org,"Leszczyny_(Bielsko-Biała)",9,6,180,4
de.wikipedia.org,"Amsdorfstraße_2_(Magdeburg)",2,2,117,1
de.wikipedia.org,"Liste_der_Kulturgüter_in_der_Region_Val-de-Ruz",14,6,77,2
