Project,Name,Revisions,Editors,Words,References
fr.wikipedia.org,"Pancratium",33,18,202,3
fr.wikipedia.org,"Glenn_Cameron",8,8,224,0
fr.wikipedia.org,"La_Guerre_des_boutons_(roman)",370,219,378,4
fr.wikipedia.org,"Patrice_Serre",34,17,177,1
fr.wikipedia.org,"Woldegk",21,13,80,0
fr.wikipedia.org,"Boreoeutheria",37,24,47,0
fr.wikipedia.org,"War_Admiral",34,22,783,9
fr.wikipedia.org,"Martin_conDoin",30,17,837,0
fr.wikipedia.org,"Louise_Fréchette",63,47,155,5
fr.wikipedia.org,"Pamir_(rivière)",32,22,127,0
fr.wikipedia.org,"Volker_Hauff",24,17,492,0
fr.wikipedia.org,"Comté_de_Montgomery_(Pennsylvanie)",37,32,52,0
fr.wikipedia.org,"Montemor-o-Velho",28,20,68,0
fr.wikipedia.org,"SuperTuxKart",290,109,1465,40
fr.wikipedia.org,"District_de_Saint-Omer",4,4,39,13
fr.wikipedia.org,"Ilovik_(Mali_Lošinj)",8,7,58,2
fr.wikipedia.org,"Hugo_Buffard",27,9,127,1
fr.wikipedia.org,"Leménil-Mitry",161,111,1378,21
ru.wikipedia.org,"Талдинский_сельский_округ_(Карагандинская_область)",26,10,52,4
ru.wikipedia.org,"Блехцин,_Игорь_Яковлевич",12,4,197,7
ru.wikipedia.org,"Березанка_(Николаевская_область)",39,25,171,7
ru.wikipedia.org,"Недозволенное_(фильм,_1932)",3,3,116,0
ru.wikipedia.org,"Панамский_амазон",14,7,131,0
ru.wikipedia.org,"Острова_Меркьюри",32,15,65,0
ru.wikipedia.org,"Проклятие_девятой_симфонии",52,35,608,4
ru.wikipedia.org,"Красная_куропатка",14,10,210,2
ru.wikipedia.org,"Солянка_(Наримановский_район)",31,23,428,15
ru.wikipedia.org,"Индигеты",21,15,91,0
ru.wikipedia.org,"Чейз,_Стюарт",16,12,79,3
ru.wikipedia.org,"2ТЭ25К",328,63,8353,242
ru.wikipedia.org,"Фирма_(фильм,_2009)",50,23,124,0
ru.wikipedia.org,"Производители_автобусов",279,82,440,0
ru.wikipedia.org,"Фине,_Ашиль_Эжен",26,7,76,24
ru.wikipedia.org,"Мирзоев,_Владимир_Владимирович",209,93,190,21
ru.wikipedia.org,"Шамурзаев,_Шамиль_Алиевич",29,7,176,4
ru.wikipedia.org,"Шульценберг,_Мартин_Мартович",43,4,131,7
ru.wikipedia.org,"Эверхард,_Томас",20,13,629,10
ru.wikipedia.org,"Мурманово",10,9,59,3
ru.wikipedia.org,"Пейетт_(река)",19,10,88,2
ru.wikipedia.org,"Кубок_Европы_по_зимним_метаниям_2007",7,4,121,0
ru.wikipedia.org,"Великий,_Александр_Семёнович",9,6,140,0
ru.wikipedia.org,"Скобели",15,5,126,5
ru.wikipedia.org,"Bleu_noir_(песня)",41,19,549,38
ru.wikipedia.org,"Orthogonalys_gigantea",17,3,51,2
ru.wikipedia.org,"Птенец-2",23,11,80,0
ru.wikipedia.org,"Ясенцы_(Нижегородская_область)",16,13,95,1
ru.wikipedia.org,"Дунфэн-25",16,11,141,11
ru.wikipedia.org,"Qualifying_School",10,4,329,0
ru.wikipedia.org,"Гоголевка_(Весёловский_район)",13,9,67,1
ru.wikipedia.org,"Динон",5,5,87,1
ru.wikipedia.org,"Бот,_Ян",48,26,173,2
ru.wikipedia.org,"Маллобавд",9,3,319,0
ru.wikipedia.org,"Колмогорово_(Красноярский_край)",6,2,908,4
ru.wikipedia.org,"Тимашов,_Дмитрий",17,12,183,8
ru.wikipedia.org,"Косая_Можга",1,1,16,4
ru.wikipedia.org,"Вайнтрауб,_Лев_Акимович",20,5,185,3
ru.wikipedia.org,"Феоктистовка",5,3,70,10
ru.wikipedia.org,"Тота_(озеро)",24,10,282,7
ru.wikipedia.org,"Num_Lock",75,44,141,0
ru.wikipedia.org,"Поздышев,_Эрик_Николаевич",32,17,170,11
ru.wikipedia.org,"Пикап_(соблазнение)",1490,530,3050,23
ru.wikipedia.org,"Тематический_индекс_цитирования",232,140,153,3
ru.wikipedia.org,"Кобылица",27,14,128,3
ru.wikipedia.org,"Alex_Stewart_Ltd.",8,6,66,0
ru.wikipedia.org,"Гудимов,_Юрий_Яковлевич",45,24,115,0
ru.wikipedia.org,"Мерсман,_Ханс",17,5,176,4
ru.wikipedia.org,"Сердце_(роман)",63,13,847,6
ru.wikipedia.org,"Одиноков,_Александр_Валерьевич",23,3,83,0
ru.wikipedia.org,"Гердъёль_(приток_Чёрной_Кедвы)",23,14,78,3
ru.wikipedia.org,"Бах,_Иоганн_Себастьян_(художник)",16,8,130,7
ru.wikipedia.org,"Герцинская_складчатость",55,24,391,0
ru.wikipedia.org,"Кузино_(Касплянское_сельское_поселение)",7,7,76,1
ru.wikipedia.org,"Палестина:_мир,_а_не_апартеид",77,29,549,12
ru.wikipedia.org,"Монеты_евро_Мальты",59,23,181,4
ru.wikipedia.org,"Управление_Верховного_комиссара_ООН_по_делам_беженцев",136,75,518,0
ru.wikipedia.org,"Hall_of_the_Mountain_Grill",34,22,172,2
ru.wikipedia.org,"Правительство_Исламской_Республики_Иран",12,6,388,4
ru.wikipedia.org,"Эрла_(Сарагоса)",30,18,38,1
ru.wikipedia.org,"Ванье_(остров)",16,11,153,3
ru.wikipedia.org,"Шиловка_(Ульяновская_область)",31,18,945,8
ru.wikipedia.org,"Маршал_Югославии",13,7,78,1
ru.wikipedia.org,"Нослы",3,3,33,0
ru.wikipedia.org,"Андруэтто,_Мария_Тереса",27,14,159,3
ru.wikipedia.org,"Варламов,_Валерий_Петрович",5,4,171,0
ru.wikipedia.org,"Чукочье_озеро",24,14,57,3
ru.wikipedia.org,"Уинсорский_университет",11,4,456,16
ru.wikipedia.org,"Катихар",18,11,75,2
ru.wikipedia.org,"Sphaerularia_bombi",24,15,149,0
ru.wikipedia.org,"Красноглинный_(Оренбургская_область)",3,2,32,3
ru.wikipedia.org,"Даниелян,_Элина_Юрьевна",42,23,343,1
ru.wikipedia.org,"Нойвирт,_Ольга",48,36,142,2
ru.wikipedia.org,"Виктор_Вилкс",17,9,142,0
ru.wikipedia.org,"Юная_мисс_США_2007",14,7,198,36
ru.wikipedia.org,"Список_астероидов_(7401—7500)",100,12,0,0
ru.wikipedia.org,"Аринкин_Хутор",11,8,185,7
ru.wikipedia.org,"UDRP",28,19,202,0
ru.wikipedia.org,"Крепо,_Робер",10,3,33,1
ru.wikipedia.org,"Маскированная_депрессия",17,14,128,0
ru.wikipedia.org,"Оболочники",125,74,177,5
ru.wikipedia.org,"Мадам",64,49,114,1
ru.wikipedia.org,"Сабурово_(Башкортостан)",20,9,25,6
ru.wikipedia.org,"Лисрона",6,3,17,2
ru.wikipedia.org,"Тигриньюс",20,16,47,0
ru.wikipedia.org,"Композиты_с_металлической_матрицей",6,5,355,0
ru.wikipedia.org,"Вооружённый_нейтралитет",62,40,465,0
ru.wikipedia.org,"NGC_4929",21,17,35,0
ru.wikipedia.org,"Катунда",20,14,36,0
ru.wikipedia.org,"Писарев,_Степан_Иванович",26,11,396,10
ru.wikipedia.org,"Кубок_Южной_Америки_по_футболу_среди_женщин_1995",2,2,70,0
ru.wikipedia.org,"Муньос,_Рене",23,10,164,0
ru.wikipedia.org,"Магдалиновский_район",59,39,233,5
ru.wikipedia.org,"Ломберный_стол",9,8,231,2
ru.wikipedia.org,"Иванов,_Альберт_Анатольевич",24,11,300,10
ru.wikipedia.org,"Гисса_(герб)",7,5,44,0
ru.wikipedia.org,"Гагарин,_Павел_Сергеевич",21,8,283,3
ru.wikipedia.org,"Still_on_My_Mind",15,2,111,36
ru.wikipedia.org,"Окулово_(Радогощинское_сельское_поселение)",19,3,306,14
it.wikipedia.org,"Vangeli_dualistici",26,21,61,0
it.wikipedia.org,"Paroldo",101,64,66,10
it.wikipedia.org,"Fattore_di_disponibilità",22,11,507,0
it.wikipedia.org,"Larche_(Corrèze)",51,26,22,1
it.wikipedia.org,"Gibraltar_Premier_Division_2017-2018",64,14,168,0
it.wikipedia.org,"Rhythm_of_Love_(Anita_Baker)",4,3,20,0
it.wikipedia.org,"Rete_tranviaria_di_Ačinsk",4,3,18,0
it.wikipedia.org,"Diga_Eleonora_d'Arborea",17,7,219,0
it.wikipedia.org,"Il_Mattino",245,141,403,5
it.wikipedia.org,"Figlio_di_Dio",111,70,477,2
it.wikipedia.org,"Dàoxìn",41,17,819,4
it.wikipedia.org,"Convitto_nazionale_Agostino_Nifo",65,19,2140,12
it.wikipedia.org,"Charrúa",36,24,153,1
it.wikipedia.org,"Codice_Pray",24,12,245,0
it.wikipedia.org,"Distretto_di_Dowein",16,9,15,1
it.wikipedia.org,"Saint-Amand-Longpré",52,30,23,1
it.wikipedia.org,"Polesine_(Pegognaga)",66,34,464,0
it.wikipedia.org,"Why_You_So_Crazy",1,1,20,0
it.wikipedia.org,"Back_2_Base_X",3,1,26,0
it.wikipedia.org,"Goran_Kalamiza",31,19,11,0
it.wikipedia.org,"Collegio_di_Doncaster_Central",6,1,64,0
it.wikipedia.org,"Gershon_Akkuffo",10,8,66,1
it.wikipedia.org,"Statistiche_del_motomondiale_per_case_motociclistiche",23,6,332,0
it.wikipedia.org,"Stazione_di_Iwasawa",8,6,62,0
it.wikipedia.org,"Episodi_di_The_Night_Shift_(prima_stagione)",97,19,2688,3
it.wikipedia.org,"Ekaterina_Jur'eva",38,16,230,6
it.wikipedia.org,"Giuseppe_Pecci_(1807-1890)",76,38,767,1
it.wikipedia.org,"Chant_(album)",21,14,281,1
it.wikipedia.org,"Kabal_(personaggio)",103,66,551,0
it.wikipedia.org,"Los_Angeles",1813,981,2913,15
it.wikipedia.org,"Commissario_europeo_per_le_relazioni_esterne",15,12,130,0
